[2025-12-15 19:13:18] === Starting HTML Reorganization ===
[2025-12-15 19:13:18] Timestamp: 12/15/2025 19:13:18
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-182543.html -> docs\reports\oberster-stein-report-20251203-182543.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-182844.html -> docs\reports\oberster-stein-report-20251203-182844.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-183145.html -> docs\reports\oberster-stein-report-20251203-183145.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-183447.html -> docs\reports\oberster-stein-report-20251203-183447.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-183751.html -> docs\reports\oberster-stein-report-20251203-183751.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-184056.html -> docs\reports\oberster-stein-report-20251203-184056.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-184405.html -> docs\reports\oberster-stein-report-20251203-184405.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-184722.html -> docs\reports\oberster-stein-report-20251203-184722.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-185029.html -> docs\reports\oberster-stein-report-20251203-185029.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-185728.html -> docs\reports\oberster-stein-report-20251203-185728.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-190029.html -> docs\reports\oberster-stein-report-20251203-190029.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-190337.html -> docs\reports\oberster-stein-report-20251203-190337.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-190643.html -> docs\reports\oberster-stein-report-20251203-190643.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-190959.html -> docs\reports\oberster-stein-report-20251203-190959.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-191311.html -> docs\reports\oberster-stein-report-20251203-191311.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-191615.html -> docs\reports\oberster-stein-report-20251203-191615.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-191924.html -> docs\reports\oberster-stein-report-20251203-191924.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-192237.html -> docs\reports\oberster-stein-report-20251203-192237.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-233912.html -> docs\reports\oberster-stein-report-20251203-233912.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-234538.html -> docs\reports\oberster-stein-report-20251203-234538.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-234918.html -> docs\reports\oberster-stein-report-20251203-234918.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-235233.html -> docs\reports\oberster-stein-report-20251203-235233.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-235614.html -> docs\reports\oberster-stein-report-20251203-235614.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251203-235933.html -> docs\reports\oberster-stein-report-20251203-235933.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251204-000253.html -> docs\reports\oberster-stein-report-20251204-000253.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251204-000613.html -> docs\reports\oberster-stein-report-20251204-000613.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251204-001018.html -> docs\reports\oberster-stein-report-20251204-001018.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251210-205221.html -> docs\reports\oberster-stein-report-20251210-205221.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251210-205402.html -> docs\reports\oberster-stein-report-20251210-205402.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251210-205404.html -> docs\reports\oberster-stein-report-20251210-205404.html
[2025-12-15 19:13:30] [MOVE] docs\reports\oberster-stein-report-20251210-205407.html -> docs\reports\oberster-stein-report-20251210-205407.html
[2025-12-15 19:13:30] [MOVE] docs\reports\online-status-report.html -> docs\reports\online-status-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\portal-redesign-complete-report.html -> docs\reports\portal-redesign-complete-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\production-package-complete-report.html -> docs\reports\production-package-complete-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\size-analysis-report.html -> docs\reports\size-analysis-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\system-overhaul-complete-report.html -> docs\reports\system-overhaul-complete-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\system-status-report.html -> docs\reports\system-status-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\test-ergebnis-report.html -> docs\reports\test-ergebnis-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\test-ergebnisse-report.html -> docs\reports\test-ergebnisse-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\test-report-final.html -> docs\reports\test-report-final.html
[2025-12-15 19:13:30] [MOVE] docs\reports\test-status-report.html -> docs\reports\test-status-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\test-und-usb-boot-report.html -> docs\reports\test-und-usb-boot-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\testreport.html -> docs\reports\testreport.html
[2025-12-15 19:13:30] [MOVE] docs\reports\together-systems-meta-transaktionsportal-report.html -> docs\reports\together-systems-meta-transaktionsportal-report.html
[2025-12-15 19:13:30] [MOVE] docs\reports\vollstaendiger-test-und-build-report.html -> docs\reports\vollstaendiger-test-und-build-report.html
[2025-12-15 19:13:30] [LEGACY] excel-scientific\index.html -> legacy\index.html
[2025-12-15 19:13:30] [LEGACY] FabrikageAIExtension\index.html -> legacy\index.html
[2025-12-15 19:13:30] [LEGACY] FABRIQUE\node_modules\swagger-ui-dist\index.html -> legacy\index.html
[2025-12-15 19:13:30] [LEGACY] Fixpatch\repo\togethersystems-main\backup\portal-2025-11-28-110820\help-getting-started.html -> legacy\help-getting-started.html
[2025-12-15 19:13:30] [MOVE] Fixpatch\repo\togethersystems-main\backup\portal-2025-11-28-110820\manifest-portal.html -> system\portal\manifest-portal.html
[2025-12-15 19:13:30] [LEGACY] Fixpatch\repo\togethersystems-main\TTT\PRODUCTION-PROCESS\README.html -> legacy\readme.html
[2025-12-15 19:13:30] [LEGACY] Fixpatch\repo\togethersystems-main\[.FREUNDSCHAFTSGESCHENK.T,.&T,,.&T,,,.]\FORMELSAMMLUNG-TOGETHERSYSTEMS.html -> legacy\formelsammlung-togethersystems.html
[2025-12-15 19:13:30] [LEGACY] Fixpatch\repo\togethersystems-main\[.FREUNDSCHAFTSGESCHENK.T,.&T,,.&T,,,.]\README.html -> legacy\readme.html
[2025-12-15 19:13:30] [LEGACY] html_backup_20251215_182151\assets\branding\README-branding.html -> legacy\readme-branding.html
[2025-12-15 19:13:30] [LEGACY] html_backup_20251215_182151\Fixpatch\repo\togethersystems-main\Prefinal - THYNK ORDNER PRODUCTION\THYNK-ORDERS-FINAL\README-EN.html -> legacy\readme-en.html
[2025-12-15 19:13:30] [LEGACY] html_backup_20251215_182151\Fixpatch\repo\togethersystems-main\PRODUCER-DOCUMENTATION\README.html -> legacy\readme.html
[2025-12-15 19:13:31] [LEGACY] html_backup_20251215_182151\Fixpatch\repo\togethersystems-main\[.FREUNDSCHAFTSGESCHENK.T,.&T,,.&T,,,.]\FORMELSAMMLUNG-TOGETHERSYSTEMS.html -> legacy\formelsammlung-togethersystems.html
[2025-12-15 19:13:31] [LEGACY] html_backup_20251215_182151\Fixpatch\repo\togethersystems-main\[.FREUNDSCHAFTSGESCHENK.T,.&T,,.&T,,,.]\README.html -> legacy\readme.html
[2025-12-15 19:13:31] [LEGACY] html_backup_20251215_182151\[.FREUNDSCHAFTSGESCHENK.T,.&T,,.&T,,,.]\README.html -> legacy\readme.html
[2025-12-15 19:13:31] [MOVE] system\cms\cms-dashboard.html -> system\cms\cms-dashboard.html
[2025-12-15 19:13:31] [MOVE] system\cms\cms-fehler-analyse.html -> system\cms\cms-fehler-analyse.html
[2025-12-15 19:13:31] [MOVE] system\cms\cms-implementierungs-plan.html -> system\cms\cms-implementierungs-plan.html
[2025-12-15 19:13:31] [MOVE] system\cms\cms-system-jouwweb.html -> system\cms\cms-system-jouwweb.html
[2025-12-15 19:13:31] [MOVE] system\cms\verhalten-cms-jouwweb.html -> system\cms\verhalten-cms-jouwweb.html
[2025-12-15 19:13:31] [MOVE] system\encryption\encryption-dashboard.html -> system\encryption\encryption-dashboard.html
[2025-12-15 19:13:31] [MOVE] system\encryption\encryption-laboratory.html -> system\encryption\encryption-laboratory.html
[2025-12-15 19:13:31] [MOVE] system\neural-network\ai-neural-system.html -> system\neural-network\ai-neural-system.html
[2025-12-15 19:13:31] [MOVE] system\neural-network\ki-neural-network-implementation.html -> system\neural-network\ki-neural-network-implementation.html
[2025-12-15 19:13:31] [MOVE] system\neural-network\neural-network-console.html -> system\neural-network\neural-network-console.html
[2025-12-15 19:13:31] [MOVE] system\portal\benutzerhandbuch-portal-manifest-os.html -> system\portal\benutzerhandbuch-portal-manifest-os.html
[2025-12-15 19:13:31] [MOVE] system\portal\dating-portal.html -> system\portal\dating-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\developer-portal-together-systems.html -> system\portal\developer-portal-together-systems.html
[2025-12-15 19:13:31] [MOVE] system\portal\developer-portal.html -> system\portal\developer-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\development-guide-tel-portal.html -> system\portal\development-guide-tel-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\documentation-portal.html -> system\portal\documentation-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\doku-portal-animation.html -> system\portal\doku-portal-animation.html
[2025-12-15 19:13:31] [MOVE] system\portal\doku-portal-vollstaendig.html -> system\portal\doku-portal-vollstaendig.html
[2025-12-15 19:13:31] [MOVE] system\portal\global-healing-portal-wisdom-traditions.html -> system\portal\global-healing-portal-wisdom-traditions.html
[2025-12-15 19:13:31] [MOVE] system\portal\help-online-portal.html -> system\portal\help-online-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\help-portal.html -> system\portal\help-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\manifest-portal.html -> system\portal\manifest-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\osos-tos-production-portal.html -> system\portal\osos-tos-production-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\portal-start-nebula.html -> system\portal\portal-start-nebula.html
[2025-12-15 19:13:31] [MOVE] system\portal\portal-start.html -> system\portal\portal-start.html
[2025-12-15 19:13:31] [MOVE] system\portal\portal.html -> system\portal\portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\raymond-demitrio-tel-info-portal-html.html -> system\portal\raymond-demitrio-tel-info-portal-html.html
[2025-12-15 19:13:31] [MOVE] system\portal\setup-handbuch-portal.html -> system\portal\setup-handbuch-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\teladia-portal-redesign.html -> system\portal\teladia-portal-redesign.html
[2025-12-15 19:13:31] [MOVE] system\portal\teladia-portal.html -> system\portal\teladia-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\telbank-portal-negative-assets.html -> system\portal\telbank-portal-negative-assets.html
[2025-12-15 19:13:31] [MOVE] system\portal\togethersystems-enterprise-universe-licensed-space-t.t.-upload-portal.html -> system\portal\togethersystems-enterprise-universe-licensed-space-t.t.-upload-portal.html
[2025-12-15 19:13:31] [MOVE] system\portal\voucher-portal-funktionalitaetsbericht-de.html -> system\portal\voucher-portal-funktionalitaetsbericht-de.html
[2025-12-15 19:13:31] [MOVE] system\portal\voucher-portal-funktionalitaetsbericht-en.html -> system\portal\voucher-portal-funktionalitaetsbericht-en.html
[2025-12-15 19:13:31] [MOVE] system\portal\voucher-portal-funktionalitaetsbericht-nl.html -> system\portal\voucher-portal-funktionalitaetsbericht-nl.html
[2025-12-15 19:13:31] [LEGACY] TELBANK\README.html -> legacy\readme.html
[2025-12-15 19:13:31] [LEGACY] [.FREUNDSCHAFTSGESCHENK.T,.&T,,.&T,,,.]\FORMELSAMMLUNG-TOGETHERSYSTEMS.html -> legacy\formelsammlung-togethersystems.html
[2025-12-15 19:13:31] [LEGACY] [.FREUNDSCHAFTSGESCHENK.T,.&T,,.&T,,,.]\README.html -> legacy\readme.html
